Batch plan id,Batch plan/Process(Parent Job),Job group(Sub-job),Date & Start Time,Schedule,Status (Automated/Manual),Active vs Non Active,BP name,BP description
100001,"MRI, not needed (Scheduled maintenance)",Cleanup expired quotes,,Night,Manual,Non Active,,
100001,"MRI, not needed (Scheduled maintenance)",Cleanup obsolete work flow processes,,Night,Manual,Non Active,,
100001,"MRI, not needed (Scheduled maintenance)",Data mart related jobs,,Night,Manual,Non Active,,
100001,"MRI, not needed (Scheduled maintenance)",Cancel workorders not progressed for 60 Months,,Monthly,Manual,Non Active,,
100001,"MRI, not needed (Scheduled maintenance)",Update quote status to Contract Created,,Night,Manual,Non Active,,
100002,"MRI, not needed (BQ)",Deferred bulk quotation jobs (run once),,Evening,Manual,Non Active,Run bulk quotation jobs (run once),"runs deferred, one-off bulk quotation jobs"
100002,"MRI, not needed (BQ)",Repeated bulk quotation jobs (monthly),,Monthly,Manual,Non Active,Run bulk quotation jobs (monthly),(re-)runs monthly bulk quotation jobs
100003,Sales follow-up,Follow-up requests,,Weekly - Monday,Automated,Active,quotes expiring by end of the week,exports the quotes expiring by end of each week
100003,Sales follow-up,"Update customer status  - MRI, not needed",,Disabled,Manual,Non Active,Set customer status to 'active (fleet)',Sets the customerState to active when one or more initialized or running contracts are found: - for new customers with status 'qualified (fleet)' = 1st time activation - for returning customers with status 'no active fleet' = re-activation
100003,Sales follow-up,"Update customer status  - MRI, not needed",,Disabled,Manual,Non Active,Set credit review date to low-date,Sets the credit review date to {low} for customers that have no longer any 'running' or 'initialized' contracts and whose current state is 'active'. Assumption: credit situation outdated and to be reviewed before creating new contracts.
100003,Sales follow-up,"Update customer status  - MRI, not needed",,Disabled,Manual,Non Active,Set customer status to 'no active fleet',Sets the customerState to 'no active fleet' for these customers that have no longer any 'running' or 'initialized' contracts and whose current state is 'active'.  The selection ignores enterprises.
100003,Sales follow-up,Customer communication - Documents,,Last day Monthly,Manual,Active,Future Rental Liability,The Future Rental Liability is a document provided to customers to indicate the number of contract with details showing the monthly rental as well as the total of all future rentals that will become due.
100004,Credit follow-up,Anticipate credit reviews,20/12/2021 18:49,Last day Monthly,Automated,Active,Refresh credit information,Recalculates credit exposure and (optionally) triggers ad hoc activity if review of credit limit would be needed when nearing expiry or nearing max usage ratio
100004,Credit follow-up,Anticipate credit reviews,13/11/2021 12:38,Last day Monthly,Automated,Active,Refresh credit information,Recalculates credit exposure and (optionally) triggers ad hoc activity if review of credit limit would be needed when nearing expiry or nearing max usage ratio
100005,Customer invoicing,Generate vehicle procurement invoices - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,Vehicle procurement upfront billing item generation,"Creates the billing items to charge back the vehicle procurement, delivery costs and vehicle procurement fee"
100005,Customer invoicing,Generate vehicle procurement invoices - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,Vehicle procurement invoicing,Creates outgoing invoices for vehicle procurement invoices on a daily basis.
