Batch plan id,Batch plan/Process,Sequence,Enabled?,Job group,Start Time,Schedule,Status (Automated/Manual),Job Parent Job vs Sub-Jobs,Active vs Non Active,BP sequence,BP id,BP name,BP description,Group dependency,Dependency behavior,Command Name,Selection.description,Selection.ID,JobGroup.triggertype
100001,"MRI, not needed (Scheduled maintenance)",1,1,Cleanup expired quotes,,Night,Automated,Sub-job,Active,,,,,,3058,,,,
100001,"MRI, not needed (Scheduled maintenance)",2,1,Cleanup obsolete work flow processes,,Night,Automated,Sub-job,Active,,,,,,3058,,,,
100001,"MRI, not needed (Scheduled maintenance)",3,1,Data mart related jobs,,Night,Automated,Sub-job,Active,,,,,,3058,,,,
100001,"MRI, not needed (Scheduled maintenance)",4,1,Cancel workorders not progressed for 60 Months,,Monthly,Automated,Sub-job,Active,,,,,,3058,,,,
100001,"MRI, not needed (Scheduled maintenance)",5,1,Update quote status to Contract Created,,Night,Automated,Sub-job,Active,,,,,,3058,,,,
100002,"MRI, not needed (BQ)",1,0,Deferred bulk quotation jobs (run once),,Evening,Manual,Sub-job,Active,1,100005,Run bulk quotation jobs (run once),"runs deferred, one-off bulk quotation jobs",,3058,ExecuteBulkProcessor,Bulk quotation jobs (run once),100089,1629
100002,"MRI, not needed (BQ)",2,0,Repeated bulk quotation jobs (monthly),,Monthly,Manual,Sub-job,Active,1,100006,Run bulk quotation jobs (monthly),(re-)runs monthly bulk quotation jobs,,3058,ExecuteBulkProcessor,Bulk quotation jobs (monthly),100090,100055
100003,Sales follow-up,1,1,Follow-up requests,,Weekly - Monday,Automated,Sub-job,Active,1,500342,quotes expiring by end of the week,exports the quotes expiring by end of each week,,3058,ExportSearchData,,,501386
100003,Sales follow-up,2,0,"Update customer status  - MRI, not needed",,Disabled,Manual,Sub-job,Non Active,1,100011,Set customer status to 'active (fleet)',Sets the customerState to active when one or more initialized or running contracts are found: - for new customers with status 'qualified (fleet)' = 1st time activation - for returning customers with status 'no active fleet' = re-activation,,3058,ExecuteFormula,Find customers to be activated,100113,1631
100003,Sales follow-up,2,0,"Update customer status  - MRI, not needed",,Disabled,Manual,Sub-job,Non Active,2,100095,Set credit review date to low-date,Sets the credit review date to {low} for customers that have no longer any 'running' or 'initialized' contracts and whose current state is 'active'. Assumption: credit situation outdated and to be reviewed before creating new contracts.,,3058,ExecuteFormula,Find customers to be discontinued,100115,1631
100003,Sales follow-up,2,0,"Update customer status  - MRI, not needed",,Disabled,Manual,Sub-job,Non Active,3,100009,Set customer status to 'no active fleet',Sets the customerState to 'no active fleet' for these customers that have no longer any 'running' or 'initialized' contracts and whose current state is 'active'.  The selection ignores enterprises.,,3058,ExecuteFormula,Find customers to be discontinued,100115,1631
100003,Sales follow-up,3,1,Customer communication - Documents,,Last day Monthly,Manual,Sub-job,Active,1,500037,Future Rental Liability,The Future Rental Liability is a document provided to customers to indicate the number of contract with details showing the monthly rental as well as the total of all future rentals that will become due.,,3058,GenerateAndSendDocument,Future Rental Liability customer,500415,500061
100004,Credit follow-up,1,1,Anticipate credit reviews,20/12/2021 18:49,Last day Monthly,Automated,Sub-job,Active,1,100002,Refresh credit information,Recalculates credit exposure and (optionally) triggers ad hoc activity if review of credit limit would be needed when nearing expiry or nearing max usage ratio,,3058,RefreshCreditInformation,,,500061
100004,Credit follow-up,1,1,Anticipate credit reviews,13/11/2021 12:38,Last day Monthly,Automated,Sub-job,Active,1,100002,Refresh credit information,Recalculates credit exposure and (optionally) triggers ad hoc activity if review of credit limit would be needed when nearing expiry or nearing max usage ratio,,3058,RefreshCreditInformation,,,500061
100005,Customer invoicing,10,1,Generate vehicle procurement invoices - Twice daily,17/11/2021 19:00,Twice daily,Automated,Sub-job,Active,1,500043,Vehicle procurement upfront billing item generation,"Creates the billing items to charge back the vehicle procurement, delivery costs and vehicle procurement fee",,3057,BillUpfrontForContractCommand,Vehicle procurement contracts for upfront BI generation,500437,500831
100005,Customer invoicing,10,1,Generate vehicle procurement invoices - Twice daily,19/11/2021 19:00,Twice daily,Automated,Sub-job,Active,1,500043,Vehicle procurement upfront billing item generation,"Creates the billing items to charge back the vehicle procurement, delivery costs and vehicle procurement fee",,3057,BillUpfrontForContractCommand,Vehicle procurement contracts for upfront BI generation,500437,500831
100005,Customer invoicing,10,1,Generate vehicle procurement invoices - Twice daily,18/11/2021 19:00,Twice daily,Automated,Sub-job,Active,1,500043,Vehicle procurement upfront billing item generation,"Creates the billing items to charge back the vehicle procurement, delivery costs and vehicle procurement fee",,3057,BillUpfrontForContractCommand,Vehicle procurement contracts for upfront BI generation,500437,500831
100005,Customer invoicing,10,1,Generate vehicle procurement invoices - Twice daily,18/11/2021 19:00,Twice daily,Automated,Sub-job,Active,2,500045,Vehicle procurement invoicing,Creates outgoing invoices for vehicle procurement invoices on a daily basis.,,3057,GenerateInvoice,,,500831
100005,Customer invoicing,10,1,Generate vehicle procurement invoices - Twice daily,19/11/2021 19:00,Twice daily,Automated,Sub-job,Active,2,500045,Vehicle procurement invoicing,Creates outgoing invoices for vehicle procurement invoices on a daily basis.,,3057,GenerateInvoice,,,500831
100005,Customer invoicing,10,1,Generate vehicle procurement invoices - Twice daily,17/11/2021 19:00,Twice daily,Automated,Sub-job,Active,2,500045,Vehicle procurement invoicing,Creates outgoing invoices for vehicle procurement invoices on a daily basis.,,3057,GenerateInvoice,,,500831
